factor,IC_mean,IC_std,ICIR,t_stat,IC>0_%,N,Sig
F70_ep_ttm,0.03883030056248483,0.2293140820798813,0.16933238556609156,1.3963506230536218,47.05882352941176,68,False
F05_mom3m,-0.033962880073739696,0.1970054899896339,-0.172395602150614,-1.3898977792113816,41.53846153846154,65,False
F16_rel_mom,-0.033962880073739696,0.1970054899896339,-0.172395602150614,-1.3898977792113816,41.53846153846154,65,False
F13_mom_accel,0.03053693710625604,0.18006156249074712,0.1695916479000078,1.3672915773285574,47.69230769230769,65,False
F18_trend_clarity,-0.019670722585220297,0.10881052756071335,-0.1807795902307758,-1.3648559755184468,38.59649122807017,57,False
F69_ep,0.03976507278216612,0.24122377220569327,0.16484723880471513,1.3593651553665178,48.529411764705884,68,False
F98_equity_r,-0.02363531147838848,0.15546667544842882,-0.15202815272285636,-1.25365626348774,45.588235294117645,68,False
F95_leverage,0.02363363397787252,0.15546622002037347,0.15201780795066214,1.2535709583108803,54.41176470588235,68,False
F11_minret,-0.03009602472130823,0.20037163310224623,-0.1502010252416855,-1.2294483783001142,44.776119402985074,67,False
F26_downvol,-0.029439491520359053,0.1991143602854123,-0.1478521763983282,-1.21022222190943,40.298507462686565,67,False
F87_ebit_mg,0.013141742498709478,0.09593248804722686,0.1369894888188441,1.1296442639989273,57.35294117647059,68,False
F15_mom_voladj,-0.026565175462121914,0.19122549689235407,-0.13892067686494838,-1.1200143034533092,44.61538461538462,65,False
F47_illiq_shock,0.01364913766516857,0.09983899153764172,0.13671149372560032,1.1190318041136658,58.2089552238806,67,False
F19_trend_mom,0.01658323699584749,0.11346697563256516,0.14615033936877117,1.103410864892855,57.89473684210527,57,False
F04_mom2m,-0.027614621769392455,0.20422611498157053,-0.13521591874714167,-1.0984993168199146,46.96969696969697,66,False
F66_price_accel,0.020949258707358486,0.16043926068027178,0.13057439069796514,1.0607913646922094,57.57575757575758,66,False
F54_holding,-0.028364304224953375,0.20158572556050283,-0.14070591628493193,-1.0435030034777213,49.09090909090909,55,False
F99_net_debt,0.019095798689108733,0.15461537272097545,0.12350517515208341,1.0184497649248994,52.94117647058824,68,False
F17_p52low,-0.02733223148448045,0.21298823593321847,-0.12832742317773058,-1.0022692152838064,44.26229508196721,61,False
F32_mdd63,0.02582938235391735,0.2079392573908214,0.12421599787370156,1.0014613913198867,61.53846153846154,65,False
F103_asset_chg,-0.01831461206306188,0.13181814726571187,-0.1389384727593256,-0.9922191591817743,41.17647058823529,51,False
F23_beta,-0.037633917554988267,0.2889947650233793,-0.13022352689310387,-0.9657635231288982,40.0,55,False
F82_size_circ,-0.010441591581919636,0.08942659139621294,-0.1167615965105634,-0.9628407908576068,50.0,68,False
